*** File created 2020-04-28 09:16:10.872955 ***
*** Log file from biogeme 3.2.5 [2020-04-28]
[09:15:52] < General >   Remove 24 unused variables from the database as only 23 are used.
[09:15:58] < General >   Log likelihood (N=10692):  -7875.003 Gradient norm:      1e+01  
[09:15:58] < General >   Log likelihood (N=10692):  -7874.991 Gradient norm:          3  
[09:15:58] < General >   Log likelihood (N=10692):  -7874.989 Gradient norm:          1  
[09:15:58] < General >   Log likelihood (N=10692):  -7874.988 Gradient norm:          1  
[09:15:58] < General >   Log likelihood (N=10692):  -7874.987 Gradient norm:          5  
[09:15:58] < General >   Log likelihood (N=10692):  -7874.985 Gradient norm:          1  
[09:15:59] < General >   Log likelihood (N=10692):  -7874.984 Gradient norm:        0.8  
[09:15:59] < General >   Log likelihood (N=10692):  -7874.984 Gradient norm:        0.9  
[09:15:59] < General >   Log likelihood (N=10692):  -7874.983 Gradient norm:        0.9  
[09:15:59] < General >   Log likelihood (N=10692):  -7874.982 Gradient norm:        0.9  
[09:15:59] < General >   Log likelihood (N=10692):  -7874.983 Gradient norm:          3  
[09:15:59] < General >   Log likelihood (N=10692):  -7874.982 Gradient norm:          1  
[09:15:59] < General >   Log likelihood (N=10692):  -7874.981 Gradient norm:        0.8  
[09:15:59] < General >   Log likelihood (N=10692):   -7874.98 Gradient norm:          2  
[09:15:59] < General >   Log likelihood (N=10692):   -7874.98 Gradient norm:        0.8  
[09:15:59] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.5  
[09:15:59] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.4  
[09:15:59] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.2  
[09:16:00] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.8  
[09:16:00] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:          1  
[09:16:00] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.2  
[09:16:00] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.2  
[09:16:00] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.1  
[09:16:00] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:       0.07  
[09:16:00] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.1  
[09:16:00] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:       0.07  
[09:16:00] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.1  
[09:16:00] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:       0.04  
[09:16:00] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:       0.03  
[09:16:00] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:       0.03  
[09:16:00] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:       0.04  
[09:16:01] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:       0.06  
[09:16:01] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.1  
[09:16:01] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:       0.05  
[09:16:01] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:       0.03  
[09:16:01] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:       0.03  
[09:16:01] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:       0.06  
[09:16:01] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:       0.08  
[09:16:01] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:       0.09  
[09:16:01] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.5  
[09:16:01] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.2  
[09:16:01] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.1  
[09:16:01] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:       0.07  
[09:16:02] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.1  
[09:16:02] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.1  
[09:16:02] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.4  
[09:16:02] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.1  
[09:16:02] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.1  
[09:16:02] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.1  
[09:16:02] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.1  
[09:16:02] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.8  
[09:16:02] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.2  
[09:16:02] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.1  
[09:16:02] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.1  
[09:16:02] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:          1  
[09:16:02] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.4  
[09:16:03] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.3  
[09:16:03] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.2  
[09:16:03] < General >   Log likelihood (N=10692):  -7874.979 Gradient norm:        0.2  
[09:16:03] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:        0.2  
[09:16:03] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:        0.9  
[09:16:03] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:        0.3  
[09:16:03] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:        0.1  
[09:16:03] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:        0.1  
[09:16:03] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.09  
[09:16:03] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:        0.1  
[09:16:03] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:        0.8  
[09:16:03] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:        0.2  
[09:16:03] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:        0.1  
[09:16:04] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.07  
[09:16:04] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:        0.1  
[09:16:04] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.06  
[09:16:04] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.05  
[09:16:04] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:        0.1  
[09:16:04] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:        0.1  
